timestamps,Verimon old - UNTIL - MED - Type 0,Verimon new - UNTIL - MED - Type 0,Monpoly - UNTIL - MED - Type 0,Verimon old - UNTIL - MIN - Type 0,Verimon new - UNTIL - MIN - Type 0,Monpoly - UNTIL - MIN - Type 0,Verimon old - UNTIL - SUM - Type 0,Verimon new - UNTIL - SUM - Type 0,Monpoly - UNTIL - SUM - Type 0
1000,0.50,0.05,0.19,0.50,0.04,0.17,0.49,0.04,0.15
2000,2.20,0.09,0.78,2.47,0.07,0.65,2.21,0.07,0.63
